epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.446,2.05712,3.9985,1.22781,0.64682,0.37966,0.46952,0.17539,1.92365,2.60844,1.115,0.0702381,0.00330688,0.00330688
2,815.643,2.05948,2.12514,1.19963,0.67255,0.35263,0.44833,0.16815,2.16199,2.36993,1.26512,0.0401724,0.00657447,0.00657447
3,1224.44,2.26371,2.28826,1.27775,0.44369,0.11963,0.17677,0.05974,2.45393,3.2942,1.4719,0.0100406,0.00977607,0.00977607
4,1633.03,2.23946,2.22581,1.30906,0.4872,0.39726,0.34157,0.10897,2.36635,7.80759,1.3891,0.009703,0.009703,0.009703
5,2036.28,2.16086,1.97204,1.29655,0.45141,0.27489,0.26168,0.09721,2.18371,3.21037,1.37051,0.009604,0.009604,0.009604
6,2434.67,2.18084,1.89352,1.29274,0.53404,0.46158,0.45795,0.18305,2.11882,2.27031,1.25829,0.009505,0.009505,0.009505
7,2836.8,2.11248,1.76382,1.27469,0.69587,0.4758,0.52324,0.20394,1.96269,2.66698,1.2074,0.009406,0.009406,0.009406
8,3238.15,2.08563,1.67458,1.28994,0.62138,0.43836,0.47362,0.18311,2.0686,1.92255,1.22534,0.009307,0.009307,0.009307
9,3639.06,2.10181,1.69318,1.26851,0.63183,0.49995,0.52426,0.20859,1.98802,1.69109,1.20074,0.009208,0.009208,0.009208
10,4038.95,2.05342,1.57724,1.26419,0.60806,0.44384,0.4864,0.20012,1.9911,1.67976,1.21336,0.009109,0.009109,0.009109
11,4439.83,1.9904,1.51078,1.24244,0.66763,0.54521,0.56269,0.22014,2.03652,1.40826,1.20447,0.00901,0.00901,0.00901
12,4834.92,2.01059,1.52259,1.26225,0.65123,0.5559,0.59246,0.24016,1.87096,1.44363,1.15338,0.008911,0.008911,0.008911
13,5230.23,2.00233,1.43678,1.2298,0.6942,0.50594,0.54388,0.21694,2.10896,1.73061,1.23257,0.008812,0.008812,0.008812
14,5625.12,2.0091,1.51645,1.21044,0.67472,0.52329,0.56889,0.23729,1.87074,1.54578,1.14224,0.008713,0.008713,0.008713
15,6020.22,1.98203,1.45629,1.27927,0.62752,0.41005,0.46137,0.19569,1.97883,1.76145,1.21508,0.008614,0.008614,0.008614
16,6410.91,1.92175,1.36034,1.25671,0.69378,0.58761,0.63636,0.28546,1.84212,1.27674,1.16138,0.008515,0.008515,0.008515
17,6803.98,1.90323,1.32312,1.19922,0.74786,0.61644,0.67117,0.29457,1.80988,1.23398,1.13736,0.008416,0.008416,0.008416
18,7197.95,1.93661,1.31221,1.20229,0.76856,0.62557,0.67333,0.29904,1.85629,1.33147,1.13367,0.008317,0.008317,0.008317
19,7594.59,1.90841,1.32861,1.17463,0.73164,0.60548,0.66107,0.27028,1.87072,1.40488,1.14387,0.008218,0.008218,0.008218
