epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9128,1.66888,2.60738,1.34752,0.26523,0.01831,0.1387,0.09587,1.74371,4.64459,1.43945,0.0671826,3.28502e-05,3.28502e-05
2,49.4971,1.58276,1.53097,1.3126,0.79494,0.4337,0.62172,0.33044,1.59048,1.94074,1.26475,0.0338825,6.60525e-05,6.60525e-05
3,74.2847,1.50205,1.23615,1.26747,0.77869,0.67132,0.76554,0.39802,1.49469,1.05441,1.23624,0.000582215,9.91228e-05,9.91228e-05
4,99.182,1.45719,1.11295,1.22837,0.814,0.72891,0.79799,0.42199,1.4906,0.94807,1.19999,9.9406e-05,9.9406e-05,9.9406e-05
5,124.15,1.40248,1.03336,1.21103,0.84189,0.75193,0.81276,0.44103,1.44317,0.90602,1.19108,9.9208e-05,9.9208e-05,9.9208e-05
6,149.058,1.40013,0.99141,1.19585,0.87379,0.76299,0.83887,0.45874,1.44125,0.87901,1.18424,9.901e-05,9.901e-05,9.901e-05
7,174.03,1.37522,0.94297,1.19088,0.86597,0.78548,0.85387,0.47715,1.41633,0.8224,1.1621,9.8812e-05,9.8812e-05,9.8812e-05
8,199.171,1.35965,0.91117,1.16783,0.85203,0.79479,0.84158,0.47125,1.4251,0.85301,1.15889,9.8614e-05,9.8614e-05,9.8614e-05
9,224.136,1.34196,0.89011,1.16748,0.85976,0.79628,0.84641,0.46283,1.41214,0.83444,1.16806,9.8416e-05,9.8416e-05,9.8416e-05
10,249.105,1.32822,0.87406,1.15544,0.86569,0.79734,0.85597,0.47666,1.4046,0.78971,1.16716,9.8218e-05,9.8218e-05,9.8218e-05
11,274.113,1.30179,0.84311,1.13998,0.84073,0.79939,0.84141,0.45548,1.46395,0.82939,1.1776,9.802e-05,9.802e-05,9.802e-05
12,299.221,1.29731,0.83119,1.14222,0.89889,0.81124,0.8756,0.48894,1.3901,0.77109,1.15975,9.7822e-05,9.7822e-05,9.7822e-05
13,324.349,1.29454,0.81981,1.13912,0.89808,0.82594,0.88693,0.50145,1.38545,0.75328,1.14008,9.7624e-05,9.7624e-05,9.7624e-05
14,349.339,1.27622,0.80344,1.13609,0.87207,0.81972,0.87097,0.48732,1.41253,0.76868,1.15508,9.7426e-05,9.7426e-05,9.7426e-05
15,374.412,1.26224,0.78508,1.12823,0.90045,0.82768,0.88712,0.50498,1.34679,0.734,1.13684,9.7228e-05,9.7228e-05,9.7228e-05
16,399.344,1.2485,0.76917,1.12156,0.91823,0.82568,0.88501,0.51725,1.32737,0.6931,1.12228,9.703e-05,9.703e-05,9.703e-05
17,424.501,1.23624,0.75965,1.1145,0.90292,0.8309,0.88924,0.50997,1.35857,0.71096,1.13483,9.6832e-05,9.6832e-05,9.6832e-05
18,449.519,1.22715,0.76352,1.11693,0.91177,0.8376,0.89655,0.52104,1.319,0.69915,1.12195,9.6634e-05,9.6634e-05,9.6634e-05
19,474.687,1.21511,0.74459,1.10817,0.92902,0.82619,0.89295,0.51333,1.33309,0.71181,1.11341,9.6436e-05,9.6436e-05,9.6436e-05
20,499.805,1.22144,0.75173,1.10454,0.92033,0.82333,0.89604,0.52506,1.31762,0.68303,1.11287,9.6238e-05,9.6238e-05,9.6238e-05
21,525.078,1.19885,0.72246,1.10362,0.9044,0.82423,0.89143,0.51089,1.35398,0.71102,1.12905,9.604e-05,9.604e-05,9.604e-05
22,550.178,1.17958,0.70529,1.09134,0.91569,0.83554,0.89947,0.53166,1.3125,0.66719,1.11257,9.5842e-05,9.5842e-05,9.5842e-05
23,575.178,1.19521,0.72443,1.09161,0.8935,0.85832,0.90103,0.52722,1.32242,0.679,1.12759,9.5644e-05,9.5644e-05,9.5644e-05
24,600.186,1.17749,0.71472,1.08592,0.92704,0.84123,0.90816,0.5392,1.28261,0.65416,1.10047,9.5446e-05,9.5446e-05,9.5446e-05
25,625.314,1.17602,0.70252,1.08441,0.88871,0.85,0.90582,0.53616,1.29829,0.6526,1.10465,9.5248e-05,9.5248e-05,9.5248e-05
