epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7542,1.56987,4.73327,0.98873,0.00235,0.68182,0.06378,0.04054,1.49073,4.78475,0.91967,0.00026,0.00026,0.00026
2,84.2442,1.60435,3.29164,0.97875,0.00207,0.6,0.03961,0.02588,1.51992,4.70143,0.94102,0.000534654,0.000534654,0.000534654
3,125.554,1.53783,2.82309,1.02091,0.002,0.58182,0.03147,0.0124,1.43667,4.55037,0.97601,0.000803764,0.000803764,0.000803764
4,166.781,1.63481,2.94473,1.01126,0.00117,0.34091,0.0064,0.00472,1.41526,4.68316,0.99568,0.00106733,0.00106733,0.00106733
5,208.059,1.54924,2.50998,1.02585,0.00186,0.54091,0.11284,0.0711,1.43264,4.13633,0.98965,0.00132535,0.00132535,0.00132535
6,249.341,1.59184,2.47862,1.01511,0.9121,0.04726,0.31916,0.18141,1.55025,3.50673,1.0338,0.00157783,0.00157783,0.00157783
7,290.583,1.58269,2.18495,1.0425,0.67502,0.12274,0.33001,0.14731,1.62064,3.33726,1.05818,0.00182476,0.00182476,0.00182476
8,331.941,1.56601,2.0579,1.01857,0.83854,0.59545,0.69098,0.35065,1.55071,2.51908,1.05752,0.0018614,0.0018614,0.0018614
9,373.068,1.53392,1.957,1.02806,0.87388,0.7244,0.76752,0.38548,1.5054,1.95697,1.0456,0.0018416,0.0018416,0.0018416
10,413.815,1.604,1.94017,1.07893,0.87309,0.5629,0.63625,0.36732,1.44865,1.94119,1.04513,0.0018218,0.0018218,0.0018218
11,454.752,1.52858,1.62129,1.03493,0.83583,0.59545,0.63304,0.33938,1.49436,1.81786,1.04168,0.001802,0.001802,0.001802
12,495.695,1.57976,1.53315,1.02635,0.76156,0.47911,0.56662,0.29277,1.57845,1.87538,1.03133,0.0017822,0.0017822,0.0017822
13,536.593,1.58664,1.52648,1.04521,0.78501,0.5809,0.64833,0.34581,1.57402,1.7243,1.02781,0.0017624,0.0017624,0.0017624
14,577.482,1.51681,1.44006,0.9987,0.65847,0.61346,0.63271,0.31317,1.52843,2.16156,1.00448,0.0017426,0.0017426,0.0017426
15,618.361,1.52817,1.38925,1.02575,0.7946,0.66818,0.7349,0.39038,1.4504,1.51242,1.0034,0.0017228,0.0017228,0.0017228
16,659.242,1.41176,1.29642,0.98766,0.81726,0.71818,0.79484,0.41956,1.51951,1.19053,1.00794,0.001703,0.001703,0.001703
17,699.954,1.37934,1.17783,0.96711,0.86506,0.69934,0.79316,0.45483,1.42904,1.24899,0.98883,0.0016832,0.0016832,0.0016832
18,740.84,1.45819,1.28466,1.00877,0.7798,0.65,0.70725,0.39913,1.39109,2.49732,0.976,0.0016634,0.0016634,0.0016634
19,781.83,1.45363,1.21561,0.97772,0.85052,0.74545,0.77858,0.44822,1.33378,1.2357,0.97822,0.0016436,0.0016436,0.0016436
20,822.632,1.34345,1.09602,0.9831,0.90134,0.79091,0.81194,0.46639,1.3023,1.04915,0.97624,0.0016238,0.0016238,0.0016238
21,863.506,1.30938,0.9965,0.95849,0.86864,0.84158,0.827,0.47571,1.302,1.01334,0.96469,0.001604,0.001604,0.001604
22,904.563,1.42365,1.06909,1.01202,0.92426,0.79545,0.83662,0.49375,1.28691,1.0775,0.95823,0.0015842,0.0015842,0.0015842
23,945.23,1.42564,1.02683,0.99834,0.78579,0.76818,0.77251,0.37714,1.55913,1.1919,1.00631,0.0015644,0.0015644,0.0015644
24,986.233,1.42318,0.97587,0.99528,0.76899,0.75656,0.78235,0.42909,1.37852,1.25191,0.96092,0.0015446,0.0015446,0.0015446
25,1027.16,1.3848,1.0728,0.98643,0.90193,0.79427,0.83867,0.44137,1.33095,1.15431,0.94875,0.0015248,0.0015248,0.0015248
26,1067.95,1.35397,0.91212,0.93097,0.93738,0.81656,0.85809,0.48017,1.2467,0.87655,0.94042,0.001505,0.001505,0.001505
